database,table,column_name,data_type,position,default_kind,default_expression,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_scale,datetime_precision,comment
manufacturing_dw,ai_business_synonyms,synonym,String,1,,,0,1,1,0,,,,,,"Word or phrase a user may type in natural language, such as factory, FG, vendor, or stock on hand"
manufacturing_dw,ai_business_synonyms,canonical_term,String,2,,,0,0,0,0,,,,,,"Standard business term the synonym should map to, such as plant, finished_good, supplier, or inventory_on_hand"
manufacturing_dw,ai_business_synonyms,term_type,String,3,,,0,1,1,0,,,,,,"Type of canonical term such as table, column, dimension, measure, kpi, filter_value, business_term, or abbreviation"
manufacturing_dw,ai_business_synonyms,target_table,String,4,,,0,1,1,0,,,,,,Primary physical table related to the canonical term; blank when not applicable
manufacturing_dw,ai_business_synonyms,target_column,String,5,,,0,1,1,0,,,,,,Primary physical column related to the canonical term; blank when not applicable
manufacturing_dw,ai_business_synonyms,target_value,String,6,,,0,0,0,0,,,,,,Suggested filter value or business value when the synonym refers to a specific coded meaning
manufacturing_dw,ai_business_synonyms,domain,String,7,,,0,0,0,0,,,,,,"Business domain such as inventory, production, procurement, quality, shipment, bom, or general"
manufacturing_dw,ai_business_synonyms,confidence_score,"Decimal(5, 2)",8,,,0,0,0,0,,,5.0,2.0,,Confidence score from 0 to 1 indicating how strongly this synonym maps to the canonical term
manufacturing_dw,ai_business_synonyms,usage_note,String,9,,,0,0,0,0,,,,,,Explanation for AI on how to use the mapping in SQL generation or business interpretation
manufacturing_dw,ai_business_synonyms,is_active,UInt8,10,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether this synonym is currently active and should be used by the AI
manufacturing_dw,ai_example_questions,domain,String,1,,,0,1,1,0,,,,,,"Business domain such as inventory, procurement, production, quality, or shipment"
manufacturing_dw,ai_example_questions,question_text,String,2,,,0,0,0,0,,,,,,Natural-language question users may ask
manufacturing_dw,ai_example_questions,primary_table,String,3,,,0,1,1,0,,,,,,Main table expected to answer the question
manufacturing_dw,ai_example_questions,related_tables,String,4,,,0,0,0,0,,,,,,Comma-separated list of commonly joined supporting tables
manufacturing_dw,ai_example_questions,expected_grouping,String,5,,,0,0,0,0,,,,,,Typical grouping or breakdown needed for the answer
manufacturing_dw,ai_example_questions,expected_filters,String,6,,,0,0,0,0,,,,,,Typical date or business filters used in the question
manufacturing_dw,ai_example_questions,notes,String,7,,,0,0,0,0,,,,,,Extra notes for AI prompt engineering and SQL generation
manufacturing_dw,ai_sql_templates,template_name,String,1,,,0,1,1,0,,,,,,Unique name of the SQL template
manufacturing_dw,ai_sql_templates,template_category,String,2,,,0,1,1,0,,,,,,"Business category such as inventory, procurement, production, quality, shipment, bom, or general"
manufacturing_dw,ai_sql_templates,business_question,String,3,,,0,0,0,0,,,,,,Natural-language business question this template is intended to answer
manufacturing_dw,ai_sql_templates,intent_type,String,4,,,0,0,0,0,,,,,,"Intent type such as summary, trend, ranking, detail, root_cause, or lookup"
manufacturing_dw,ai_sql_templates,primary_table,String,5,,,0,0,0,0,,,,,,Main fact or bridge table used by the template
manufacturing_dw,ai_sql_templates,related_tables,String,6,,,0,0,0,0,,,,,,Comma-separated list of dimension or supporting tables typically joined in the query
manufacturing_dw,ai_sql_templates,primary_time_column,String,7,,,0,0,0,0,,,,,,Preferred time column to use for date filtering in this template
manufacturing_dw,ai_sql_templates,grain_description,String,8,,,0,0,0,0,,,,,,Business grain expected before aggregation
manufacturing_dw,ai_sql_templates,required_filters,String,9,,,0,0,0,0,,,,,,Comma-separated list of filters that should usually be applied
manufacturing_dw,ai_sql_templates,optional_filters,String,10,,,0,0,0,0,,,,,,Comma-separated list of optional filters commonly used with the template
manufacturing_dw,ai_sql_templates,grouping_columns,String,11,,,0,0,0,0,,,,,,Comma-separated list of typical grouping columns for the query
manufacturing_dw,ai_sql_templates,measure_logic,String,12,,,0,0,0,0,,,,,,Description of the aggregation or KPI logic used in the query
manufacturing_dw,ai_sql_templates,sql_template,String,13,,,0,0,0,0,,,,,,Parameterized SQL template for AI-generated queries
manufacturing_dw,ai_sql_templates,result_notes,String,14,,,0,0,0,0,,,,,,Guidance on interpreting the output of the query
manufacturing_dw,ai_sql_templates,caveats,String,15,,,0,0,0,0,,,,,,"Warnings about grain, snapshot logic, or business interpretation"
manufacturing_dw,ai_sql_templates,is_active,UInt8,16,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether the template is active and approved for AI use
manufacturing_dw,bom_component,parent_product_key,UInt32,1,,,0,1,1,0,,,32.0,0.0,,Foreign key to dim_product for the parent assembly or finished good
manufacturing_dw,bom_component,component_product_key,UInt32,2,,,0,1,1,0,,,32.0,0.0,,Foreign key to dim_product for the child component or raw material
manufacturing_dw,bom_component,plant_key,UInt32,3,,,0,1,1,0,,,32.0,0.0,,Foreign key to dim_plant where this bill of material is valid
manufacturing_dw,bom_component,bom_version,String,4,,,0,1,1,0,,,,,,Version identifier of the bill of material
manufacturing_dw,bom_component,component_quantity,"Decimal(18, 4)",5,,,0,0,0,0,,,18.0,4.0,,Required component quantity to produce one base quantity of the parent product
manufacturing_dw,bom_component,component_uom,String,6,,,0,0,0,0,,,,,,Unit of measure of the component quantity
manufacturing_dw,bom_component,scrap_factor_pct,"Decimal(9, 4)",7,,,0,0,0,0,,,9.0,4.0,,Expected scrap percentage for the component in the manufacturing process
manufacturing_dw,bom_component,valid_from,Date,8,,,0,1,1,0,,,,,0.0,Date from which the BOM component row is valid
manufacturing_dw,bom_component,valid_to,Date,9,,,0,0,0,0,,,,,0.0,Date until which the BOM component row is valid
manufacturing_dw,bom_component,is_current,UInt8,10,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether this BOM row is currently active
manufacturing_dw,dim_customer,customer_key,UInt32,1,,,0,1,1,0,,,32.0,0.0,,Surrogate key for the customer dimension
manufacturing_dw,dim_customer,customer_id,String,2,,,0,0,0,0,,,,,,Business identifier of the customer from ERP or CRM
manufacturing_dw,dim_customer,customer_name,String,3,,,0,0,0,0,,,,,,Customer legal or trading name
manufacturing_dw,dim_customer,customer_segment,String,4,,,0,0,0,0,,,,,,"Business segment of the customer such as retail, industrial, or distributor"
manufacturing_dw,dim_customer,country,String,5,,,0,0,0,0,,,,,,Customer country
manufacturing_dw,dim_customer,region,String,6,,,0,0,0,0,,,,,,Customer sales region
manufacturing_dw,dim_customer,channel,String,7,,,0,0,0,0,,,,,,"Sales channel such as direct, distributor, e-commerce, or OEM"
manufacturing_dw,dim_customer,is_active,UInt8,8,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether the customer is active
manufacturing_dw,dim_customer,valid_from,Date,9,,,0,0,0,0,,,,,0.0,Start date when this dimension row became valid
manufacturing_dw,dim_customer,valid_to,Date,10,,,0,0,0,0,,,,,0.0,End date when this dimension row stopped being valid
manufacturing_dw,dim_customer,is_current,UInt8,11,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether this is the current active version of the dimension row
manufacturing_dw,dim_date,date_key,UInt32,1,,,0,1,1,0,,,32.0,0.0,,Integer date key in YYYYMMDD format
manufacturing_dw,dim_date,full_date,Date,2,,,0,0,0,0,,,,,0.0,Calendar date
manufacturing_dw,dim_date,year,UInt16,3,,,0,0,0,0,,,16.0,0.0,,Calendar year number
manufacturing_dw,dim_date,quarter,UInt8,4,,,0,0,0,0,,,8.0,0.0,,Calendar quarter number from 1 to 4
manufacturing_dw,dim_date,month,UInt8,5,,,0,0,0,0,,,8.0,0.0,,Calendar month number from 1 to 12
manufacturing_dw,dim_date,month_name,String,6,,,0,0,0,0,,,,,,Calendar month name
manufacturing_dw,dim_date,week_of_year,UInt8,7,,,0,0,0,0,,,8.0,0.0,,ISO week number within the year
manufacturing_dw,dim_date,day_of_month,UInt8,8,,,0,0,0,0,,,8.0,0.0,,Day number within the month
manufacturing_dw,dim_date,day_of_week,UInt8,9,,,0,0,0,0,,,8.0,0.0,,Day number within the week where Monday is 1 and Sunday is 7
manufacturing_dw,dim_date,day_name,String,10,,,0,0,0,0,,,,,,Calendar day name
manufacturing_dw,dim_date,is_weekend,UInt8,11,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether the date falls on a weekend
manufacturing_dw,dim_plant,plant_key,UInt32,1,,,0,1,1,0,,,32.0,0.0,,Surrogate key for the plant dimension
manufacturing_dw,dim_plant,plant_id,String,2,,,0,0,0,0,,,,,,Business identifier of the plant from the source ERP or MES system
manufacturing_dw,dim_plant,plant_name,String,3,,,0,0,0,0,,,,,,Human-readable name of the manufacturing plant
manufacturing_dw,dim_plant,country,String,4,,,0,0,0,0,,,,,,Country where the plant is located
manufacturing_dw,dim_plant,state_region,String,5,,,0,0,0,0,,,,,,"State, province, or region of the plant"
manufacturing_dw,dim_plant,city,String,6,,,0,0,0,0,,,,,,City where the plant is located
manufacturing_dw,dim_plant,timezone,String,7,,,0,0,0,0,,,,,,Local timezone used by the plant for operations and reporting
manufacturing_dw,dim_plant,plant_type,String,8,,,0,0,0,0,,,,,,"Type of plant such as assembly, fabrication, packaging, or distribution"
manufacturing_dw,dim_plant,is_active,UInt8,9,,,0,0,0,0,,,8.0,0.0,,"Flag indicating whether the plant is currently active; 1 means active, 0 means inactive"
manufacturing_dw,dim_plant,valid_from,Date,10,,,0,0,0,0,,,,,0.0,Start date when this dimension row became valid
manufacturing_dw,dim_plant,valid_to,Date,11,,,0,0,0,0,,,,,0.0,End date when this dimension row stopped being valid; use a far-future date for current row
manufacturing_dw,dim_plant,is_current,UInt8,12,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether this is the current active version of the dimension row
manufacturing_dw,dim_product,product_key,UInt32,1,,,0,1,1,0,,,32.0,0.0,,Surrogate key for the product dimension
manufacturing_dw,dim_product,product_id,String,2,,,0,0,0,0,,,,,,"Business identifier of the product, item, or material from ERP or PLM"
manufacturing_dw,dim_product,product_name,String,3,,,0,0,0,0,,,,,,Human-readable name of the product or material
manufacturing_dw,dim_product,product_type,String,4,,,0,0,0,0,,,,,,"Type of item such as raw_material, component, subassembly, finished_good, or consumable"
manufacturing_dw,dim_product,product_family,String,5,,,0,0,0,0,,,,,,Higher-level grouping used for analytics and reporting
manufacturing_dw,dim_product,product_category,String,6,,,0,0,0,0,,,,,,Category used by business stakeholders for planning and reporting
manufacturing_dw,dim_product,base_uom,String,7,,,0,0,0,0,,,,,,Base unit of measure used for inventory and costing
manufacturing_dw,dim_product,standard_cost,"Decimal(18, 4)",8,,,0,0,0,0,,,18.0,4.0,,Standard cost per base unit
manufacturing_dw,dim_product,standard_price,"Decimal(18, 4)",9,,,0,0,0,0,,,18.0,4.0,,Standard selling price per base unit where applicable
manufacturing_dw,dim_product,weight_kg,"Decimal(18, 4)",10,,,0,0,0,0,,,18.0,4.0,,Weight of one base unit in kilograms
manufacturing_dw,dim_product,shelf_life_days,UInt32,11,,,0,0,0,0,,,32.0,0.0,,Expected shelf life in days; 0 when shelf life is not applicable
manufacturing_dw,dim_product,is_batch_tracked,UInt8,12,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether the product is tracked by batch or lot
manufacturing_dw,dim_product,is_serial_tracked,UInt8,13,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether the product is tracked by serial number
manufacturing_dw,dim_product,is_active,UInt8,14,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether the product is active
manufacturing_dw,dim_product,valid_from,Date,15,,,0,0,0,0,,,,,0.0,Start date when this dimension row became valid
manufacturing_dw,dim_product,valid_to,Date,16,,,0,0,0,0,,,,,0.0,End date when this dimension row stopped being valid
manufacturing_dw,dim_product,is_current,UInt8,17,,,0,0,0,0,,,8.0,0.0,,Flag indicating whether this is the current active version of the dimension row
manufacturing_dw,dim_supplier,supplier_key,UInt32,1,,,0,1,1,0,,,32.0,0.0,,Surrogate key for the supplier dimension
manufacturing_dw,dim_supplier,supplier_id,String,2,,,0,0,0,0,,,,,,Business identifier of the supplier from the procurement or ERP system
manufacturing_dw,dim_supplier,supplier_name,String,3,,,0,0,0,0,,,,,,Supplier legal or trading name
manufacturing_dw,dim_supplier,supplier_category,String,4,,,0,0,0,0,,,,,,"Supplier category such as raw_material, packaging, tooling, or logistics"
manufacturing_dw,dim_supplier,country,String,5,,,0,0,0,0,,,,,,Country where the supplier is based
manufacturing_dw,dim_supplier,lead_time_days,UInt16,6,,,0,0,0,0,,,16.0,0.0,,Standard supplier lead time in days for delivered materials
manufacturing_dw,dim_supplier,payment_terms,String,7,,,0,0,0,0,,,,,,Commercial payment terms agreed with the supplier
manufacturing_dw,dim_supplier,quality_rating,"Decimal(5, 2)",8,,,0,0,0,0,,,5.0,2.0,,Internal quality score assigned to the supplier
